# Step 0, Time: 0 s
Name Mass Px Py Pz Vx Vy Vz
  Callisto 1.080000e+23 7.774164e+11 1.772616e+09 7.671419e-11 -6.710300e+03 8.342699e+03 7.104103e-15
     Titan 1.345000e+23 1.433239e+12 -1.023401e+09 1.102854e-11 5.465174e+03 1.076897e+04 1.021171e-15
      Rhea 2.310000e+21 1.432765e+12 6.409766e+08 1.103548e-11 -7.643755e+03 5.845143e+03 1.021884e-15
   Iapetus 1.810000e+21 1.429663e+12 -1.065106e+09 1.111351e-11 1.133935e+03 6.623902e+03 1.029061e-15
     Dione 1.100000e+21 1.432653e+12 4.604149e+07 1.104116e-11 3.389674e+03 -1.051621e+02 1.022351e-15
    Tethys 6.170000e+20 1.432990e+12 -1.082285e+08 1.103597e-11 1.182803e+04 8.958278e+03 1.021819e-15
 Enceladus 1.080000e+20 1.432787e+12 1.337111e+08 1.103648e-11 2.039695e+03 -3.750932e+03 1.021930e-15
     Mimas 3.750000e+19 1.433024e+12 1.013565e+07 1.103508e-11 1.616046e+04 9.220766e+03 1.021694e-15
   Miranda 6.590000e+19 2.877090e+12 2.005854e+08 1.282664e-12 -4.453774e+03 1.245726e+04 1.187694e-16
     Ariel 1.350000e+21 2.877187e+12 1.245349e+08 1.282584e-12 4.960946e+01 1.248985e+04 1.187605e-16
   Umbriel 1.170000e+21 2.876898e+12 -1.202428e+08 1.283027e-12 4.333064e+03 4.963007e+03 1.188003e-16
   Titania 3.420000e+21 2.876976e+12 -3.119487e+08 1.282914e-12 3.642599e+03 6.600692e+03 1.187901e-16
    Oberon 3.000000e+21 2.877321e+12 6.084000e+08 1.282330e-12 -2.631344e+03 8.537519e+03 1.187379e-16
    Triton 2.140000e+22 4.502779e+12 -1.780777e+08 3.275007e-13 3.441092e+03 2.669714e+03 3.032455e-17
Asteroid_1 7.852970e+17 5.629966e+10 -5.720026e+09 2.825530e+09 4.898545e+03 4.818645e+04 -2.394882e+01

# Step 5, Time: 1.800000e+04 s
Name Mass Px Py Pz Vx Vy Vz
       Sun 1.989000e+30 7.668003e+01 3.536128e-02 2.215838e-07 6.085713e-03 4.214424e-06 1.758605e-11
   Mercury 3.301000e+23 5.788922e+10 1.033939e+09 1.012769e-04 -8.553114e+02 4.786364e+04 8.052543e-09
     Venus 4.867000e+24 1.081969e+11 7.564260e+08 2.794560e-07 -2.449165e+02 3.501929e+04 2.220508e-11
     Earth 5.972000e+24 1.495984e+11 6.432385e+08 4.910942e-08 -1.277208e+02 2.977917e+04 3.899991e-12
      Mars 6.417000e+23 2.278993e+11 5.212076e+08 7.948398e-09 -5.520077e+01 2.412995e+04 6.310272e-13
   Jupiter 1.898000e+27 7.784999e+11 2.823062e+08 1.069680e-10 -4.091792e+00 1.306960e+04 8.490181e-15
    Saturn 5.683000e+26 1.433000e+12 2.090864e+08 1.544566e-11 -1.405334e+00 9.679872e+03 1.225903e-15
    Uranus 8.681000e+25 2.877000e+12 1.468793e+08 1.795962e-12 -2.982179e-01 6.799952e+03 1.425409e-16
   Neptune 1.024000e+26 4.503000e+12 1.172859e+08 4.584242e-13 -3.154182e-01 5.429827e+03 3.638373e-17
      Moon 7.342000e+22 1.498227e+11 3.317353e+08 4.881319e-08 7.019827e+02 3.037718e+04 3.876116e-12
    Phobos 1.070000e+16 2.279159e+11 5.213923e+08 7.948023e-09 2.291175e+02 2.534260e+04 6.309603e-13
    Deimos 1.480000e+15 2.279208e+11 5.219652e+08 7.947072e-09 5.147068e+01 2.560771e+04 6.309036e-13
        Io 8.930000e+22 7.788785e+11 1.571042e+08 1.068807e-10 6.458010e+03 3.022638e+04 8.482301e-15
    Europa 4.800000e+22 7.791569e+11 2.128483e+08 1.067064e-10 1.536879e+03 2.694211e+04 8.469220e-15
  Ganymede 1.480000e+23 7.786159e+11 1.341728e+09 1.068386e-10 -1.086272e+04 1.426485e+04 8.481076e-15
  Callisto 1.080000e+23 7.773925e+11 1.802271e+09 1.074068e-10 -6.636801e+03 8.237314e+03 8.525737e-15
     Titan 1.345000e+23 1.433258e+12 -9.843098e+08 1.544003e-11 5.447050e+03 1.085877e+04 1.225412e-15
      Rhea 2.310000e+21 1.432738e+12 6.604120e+08 1.545026e-11 -7.419041e+03 5.398709e+03 1.226330e-15
